City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
183,pochutla,32,MX,1528090003,100,15.74,-96.47,84.34,20.27
184,bethel,90,US,1528087980,76,60.79,-161.76,50.0,9.17
185,tilichiki,80,RU,1528090004,86,60.47,166.1,42.58,9.53
186,ponta do sol,24,BR,1528090004,87,-20.63,-46.0,60.67,6.73
187,rairangpur,75,IN,1528088400,46,22.27,86.18,93.2,3.36
188,port keats,0,AU,1528090004,35,-14.25,129.55,83.98,11.99
189,mangan,88,IN,1528090004,55,27.5,88.54,52.57,1.25
190,abong mbang,76,CM,1528090005,97,3.98,13.18,69.49,2.82
191,kyzyl-suu,48,KG,1528090005,89,42.34,78.0,57.25,4.94
192,vagay,44,RU,1528090005,48,57.94,69.02,53.65,10.98
193,birobidzhan,68,RU,1528090005,51,48.79,132.93,78.94,8.3
194,guerrero negro,64,MX,1528090005,100,27.97,-114.04,57.61,7.85
195,namibe,0,AO,1528090006,98,-15.19,12.15,72.64,3.94
196,mogadishu,75,SO,1528088400,78,2.04,45.34,82.4,13.87
197,longyearbyen,75,NO,1528087800,69,78.22,15.63,37.4,5.82
198,katsuura,75,JP,1528086780,47,33.93,134.5,80.6,11.41
199,husavik,0,CA,1528090006,86,50.56,-96.99,51.67,3.15
200,zarate,76,PE,1528088400,82,-13.68,-76.08,64.4,3.36
201,udarnyy,36,RU,1528090007,61,54.34,42.86,70.57,13.22
202,esperance,20,TT,1528088400,83,10.24,-61.45,77.0,9.17
203,kharhial,0,IN,1528090007,48,20.28,82.77,98.02,10.76
204,rafai,88,CF,1528090007,100,4.95,23.92,72.91,3.49
205,iqaluit,90,CA,1528088400,79,63.75,-68.52,26.6,18.34
206,pokhara,68,NP,1528090008,90,28.21,83.99,71.92,2.71
207,agirish,24,RU,1528090008,53,61.92,63.02,48.79,5.84
208,hobyo,0,SO,1528090008,68,5.35,48.53,82.0,21.61
209,srednekolymsk,88,RU,1528090008,81,67.46,153.71,36.73,6.17
210,ahuimanu,75,US,1528089300,78,21.44,-157.84,80.6,13.87
211,henties bay,48,NA,1528090009,100,-22.12,14.28,55.9,3.15
212,bonthe,68,SL,1528090009,94,7.53,-12.5,78.49,3.83
213,caravelas,64,BR,1528090009,100,-17.73,-39.27,75.79,9.86
214,hare bay,90,CA,1528088400,100,48.86,-53.99,28.4,26.4
215,portland,75,US,1528088160,67,45.52,-122.67,59.0,9.17
216,fort morgan,1,US,1528088100,55,40.25,-103.8,64.4,6.93
217,beranang,75,MY,1528088400,74,2.88,101.87,89.6,6.93
218,kaitangata,36,NZ,1528090010,91,-46.28,169.85,29.44,4.61
219,aquin,0,HT,1528090010,100,18.28,-73.39,80.47,16.13
220,saint-philippe,90,CA,1528088820,82,45.36,-73.48,62.6,19.46
221,mareeba,40,AU,1528088400,50,-16.99,145.42,77.0,16.11
222,valparaiso,1,US,1528089300,52,41.47,-87.06,64.4,16.11
223,thiruvananthapuram,75,IN,1528088400,88,8.48,76.92,82.4,4.7
224,jinchang,0,CN,1528090011,37,38.52,102.19,69.67,3.94
225,jacareacanga,92,BR,1528090011,67,-6.22,-57.76,83.62,2.15
226,oktyabrskoye,92,RU,1528090012,51,56.73,85.44,55.45,11.43
227,killarney,88,AU,1528090012,89,-28.34,152.3,57.25,3.04
228,nanzhang,76,CN,1528090012,52,31.78,111.84,79.12,2.71
229,morant bay,20,JM,1528088400,70,17.88,-76.41,84.2,9.17
230,belmonte,64,PT,1528090012,100,40.36,-7.35,48.52,3.04
231,seymchan,88,RU,1528090013,52,62.93,152.39,42.58,11.65
232,san jose de rio tinto,80,HN,1528090013,91,14.93,-85.7,68.32,2.15
233,marzuq,0,YE,1528090013,20,14.4,46.47,89.92,3.6
234,los llanos de aridane,24,ES,1528088400,77,28.66,-17.92,66.2,14.99
235,avarua,75,CK,1528088400,73,-21.21,-159.78,73.4,10.29
236,vila franca do campo,75,PT,1528088400,100,37.72,-25.43,66.2,17.22
237,hanyang,0,CN,1528090014,34,32.14,105.51,82.18,2.93
238,leh,0,IN,1528090014,97,34.16,77.58,23.05,1.7
239,tuktoyaktuk,75,CA,1528088400,54,69.44,-133.03,55.4,13.87
240,rawson,20,AR,1528090014,83,-43.3,-65.11,24.85,6.06
241,sorland,75,NO,1528087800,80,67.67,12.69,41.0,27.51
242,lorengau,68,PG,1528090015,100,-2.02,147.27,82.0,6.51
243,lagoa,75,PT,1528088400,77,37.14,-8.45,59.0,4.7
244,kavieng,48,PG,1528090015,100,-2.57,150.8,83.17,6.06
245,rio brilhante,92,BR,1528090015,87,-21.8,-54.54,59.14,4.5
246,hithadhoo,48,MV,1528090015,100,-0.6,73.08,83.98,10.2
247,the valley,40,AI,1528088400,74,18.22,-63.06,80.6,10.29
248,matay,0,EG,1528090016,54,28.42,30.79,77.59,8.41
249,chumikan,64,RU,1528090016,81,54.72,135.31,50.05,4.72
250,gadsden,1,US,1528088160,88,34.01,-86.01,73.4,5.82
251,nizhniy tsasuchey,80,RU,1528090016,81,50.52,115.13,55.45,21.72
252,praya,75,ID,1528088400,52,-8.71,116.27,89.6,4.7
253,qandala,0,SO,1528090017,50,11.47,49.87,90.1,3.6
254,sayyan,92,YE,1528090017,23,15.17,44.32,75.97,4.38
255,kavaratti,92,IN,1528090017,100,10.57,72.64,78.67,16.46
256,wanaka,0,NZ,1528090017,97,-44.7,169.14,22.6,2.04
257,sutton,90,CA,1528088940,100,44.31,-79.37,60.8,3.36
258,antalaha,48,MG,1528090018,94,-14.9,50.28,75.7,12.88
259,goderich,44,CA,1528090018,100,43.74,-81.71,54.73,14.67
260,morrinhos,0,BR,1528090018,80,-17.73,-49.11,59.68,3.15
261,grindavik,90,IS,1528086600,87,63.84,-22.43,44.6,3.36
262,matamoros,1,US,1528087980,88,25.87,-97.51,82.4,8.05
263,gizo,20,IL,1528087800,69,31.8,34.94,75.2,2.24
264,san jose,24,PH,1528090019,61,15.79,120.99,92.17,2.37
265,hasaki,40,JP,1528086600,54,35.73,140.83,78.8,8.05
266,sao joao da barra,76,BR,1528090020,100,-21.64,-41.05,71.92,21.27
267,aljezur,92,PT,1528089860,100,37.31,-8.8,60.04,9.64
268,scarborough,88,GB,1528087800,93,54.28,-0.41,55.4,6.93
269,russell,75,AR,1528084800,87,-33.01,-68.8,42.8,4.7
270,hatillo,20,PR,1528087800,88,18.49,-66.83,75.2,5.82
271,kyren,92,RU,1528090021,68,51.68,102.13,54.82,2.59
272,doha,0,QA,1528084800,59,25.29,51.53,95.0,4.7
273,umm lajj,0,SA,1528090021,81,25.02,37.27,81.55,5.06
274,gold coast,40,AU,1528088400,68,-28.0,153.41,66.2,12.75
275,bathsheba,20,BB,1528088400,74,13.22,-59.52,78.8,20.8
276,glenwood springs,1,US,1528088160,96,39.55,-107.33,62.6,6.93
277,san carlos de bariloche,75,AR,1528084800,80,-41.13,-71.31,35.6,4.7
278,talnakh,56,RU,1528090022,91,69.49,88.39,36.37,17.58
279,teya,40,MX,1528087560,74,21.05,-89.07,78.8,4.7
280,isangel,88,VU,1528090022,100,-19.55,169.27,75.34,6.73
281,mugur-aksy,24,RU,1528090023,24,50.38,90.44,55.0,2.59
282,klaksvik,56,FO,1528087800,87,62.23,-6.59,44.6,16.11
283,talcahuano,0,CL,1528084800,93,-36.72,-73.12,41.0,5.82
284,polyarnyye zori,88,RU,1528090023,89,67.37,32.5,44.2,5.61
285,parabel,92,RU,1528090023,90,58.71,81.5,47.26,11.32
286,mogocha,92,RU,1528090023,99,53.73,119.76,54.82,3.71
287,coahuayana,88,MX,1528090024,89,18.62,-100.35,66.16,1.92
288,nelson bay,75,AU,1528088400,87,-32.72,152.14,57.2,10.29
289,raton,1,US,1528088040,87,36.9,-104.44,55.4,4.7
290,kruisfontein,0,ZA,1528090024,100,-34.0,24.73,51.49,5.61
291,barpathar,68,IN,1528090024,77,26.3,93.87,83.98,2.93
292,yangambi,68,CD,1528090025,97,0.77,24.47,73.0,5.06
293,katobu,80,ID,1528090025,86,-4.94,122.53,83.89,6.51
294,green river,1,US,1528088040,22,41.53,-109.47,64.4,10.29
295,teruel,0,ES,1528088400,100,40.34,-1.11,59.0,3.36
296,kenora,5,CA,1528089300,71,49.76,-94.48,55.4,6.93
297,boa vista,75,BR,1528088400,94,2.82,-60.67,77.0,4.7
298,roma,20,IT,1528088100,56,41.89,12.48,69.8,14.99
299,half moon bay,20,US,1528088160,67,37.46,-122.43,75.2,14.99
300,tessalit,68,ML,1528090027,17,20.2,1.01,88.66,12.66
301,barranca,92,PE,1528090027,100,-10.75,-77.76,62.92,8.41
302,kissidougou,92,GN,1528090027,99,9.19,-10.1,68.14,6.4
303,horasan,76,TR,1528090027,100,40.04,42.16,50.5,3.27
304,tezu,88,IN,1528090027,78,27.93,96.16,75.61,1.7
305,chapais,80,CA,1528090028,39,49.78,-74.86,53.65,13.56
306,itarema,80,BR,1528090028,96,-2.92,-39.92,76.96,8.63
307,leticia,75,CO,1528088400,94,-4.21,-69.94,73.4,4.7
308,san patricio,0,PY,1528090028,84,-26.98,-56.83,46.99,3.71
309,navahrudak,0,BY,1528090028,73,53.59,25.82,71.02,6.96
310,orlik,92,RU,1528090028,100,52.51,99.83,39.88,2.48
311,chachapoyas,48,PE,1528090029,93,-6.23,-77.87,57.52,2.48
312,denpasar,68,ID,1528089766,84,-8.65,115.22,79.75,0.81
313,buchanan,40,LR,1528088400,94,5.88,-10.05,75.2,3.94
314,kamenka,20,RU,1528090029,59,53.19,44.05,67.6,16.46
315,hunchun,80,CN,1528090029,62,42.86,130.36,74.98,1.92
316,xinmin,0,CN,1528086600,44,42.0,122.83,78.8,11.18
317,dufftown,90,GB,1528087800,93,57.45,-3.13,53.6,3.36
318,hami,0,CN,1528090030,27,42.84,93.51,92.08,9.98
319,hambantota,56,LK,1528090030,95,6.12,81.12,81.82,19.04
320,pedernales,88,EC,1528090030,91,0.07,-80.05,73.72,3.15
321,san cristobal,75,EC,1528088400,81,-0.39,-78.55,53.6,9.17
322,ginda,36,IN,1528090031,81,30.69,78.49,67.87,1.92
323,kudahuvadhoo,88,MV,1528090031,100,2.67,72.89,82.99,10.65
324,aneho,20,TG,1528088400,88,6.23,1.6,78.8,4.7
325,puruandiro,5,MX,1528087680,49,20.08,-101.5,68.0,4.7
326,shakawe,0,BW,1528090032,49,-18.36,21.84,58.6,9.75
327,flinders,75,AU,1528084800,63,-34.58,150.85,60.8,11.41
328,gargzdai,0,LT,1528087800,77,55.71,21.4,66.2,4.7
329,chicama,90,PE,1528088400,93,-7.84,-79.15,64.4,5.82
330,ondjiva,0,AO,1528090032,56,-17.07,15.73,53.2,7.18
331,vikulovo,12,RU,1528090033,48,55.07,40.96,74.17,14.56
332,acapulco,90,MX,1528087200,94,16.86,-99.88,75.2,5.82
333,sfantu gheorghe,0,RO,1528088400,93,44.65,26.83,66.2,3.36
334,huarmey,48,PE,1528090033,91,-10.07,-78.15,58.42,2.15
335,porto belo,0,BR,1528088400,82,-27.15,-48.54,57.2,4.7
336,chambersburg,90,US,1528088880,93,39.94,-77.66,59.0,4.7
337,sur,0,OM,1528090034,82,22.57,59.53,89.2,3.83
338,chuguyevka,48,RU,1528090034,50,44.17,133.87,77.59,7.52
339,el salto,5,MX,1528087680,47,20.52,-103.18,78.8,9.17
340,tiznit,0,MA,1528090034,97,29.7,-9.73,57.88,2.71
341,mana,0,RS,1528088400,88,43.52,20.24,62.6,1.12
342,mekhe,0,SN,1528090035,98,15.11,-16.62,66.7,7.4
343,mehamn,75,NO,1528087800,86,71.03,27.85,41.0,16.11
344,grootfontein,0,NA,1528090035,68,-19.56,18.1,46.81,4.72
345,margherita,90,IN,1528086600,83,27.29,95.67,82.4,2.24
346,togul,36,RU,1528090036,60,53.47,85.91,66.16,13.0
347,arlit,48,NE,1528090036,24,18.74,7.39,83.08,6.17
348,dapaong,56,TG,1528090036,85,10.86,0.2,77.05,4.38
